pair_key,substance_a_id,substance_b_id,is_self_pair,classification_code,classification_confidence,risk_score,risk_label,headline,mechanism_summary,timing_guidance,field_notes,primary_mechanism_category,mechanism_categories,evidence_gaps,provenance_confidence_tier,provenance_rationale
antihypertensives|beta_blockers_ccb,antihypertensives,beta_blockers_ccb,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|brugmansia,brugmansia,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|calcium_channel_blockers,antihypertensives,calcium_channel_blockers,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|cannabis,cannabis,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|clonidine,antihypertensives,clonidine,false,THEORETICAL,medium,2.00,Theoretical interaction,Alpha-2 agonist exposure with a cardiovascularly active partner points to a provisional noradrenergic suppression / hemodynamic interaction.,"Alpha-2 agonists reduce sympathetic outflow and can lower heart rate and blood pressure, making compensatory responses harder to predict.",NULL,NULL,noradrenergic_suppression,[noradrenergic_suppression hemodynamic_interaction psychiatric_destabilization cardiovascular_load],"- Avoid abrupt clonidine or guanfacine changes.
- Monitor for dizziness, bradycardia, hypotension, or unusual sedation.",medium,Class-level autonomic pharmacology supports a cautious inference.
antihypertensives|clonidine_guanfacine,antihypertensives,clonidine_guanfacine,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|cocaine,cocaine,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,"Both drugs can shape blood pressure or pulse, so the main issue is compensatory load rather than a unique toxidrome.",NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load psychiatric_destabilization sympathomimetic_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Class-level cardiovascular pharmacology supports a cautious inference.
antihypertensives|dox,dox,antihypertensives,false,INFERRED,low,NULL,Unknown/Insufficient Data,No explicit interaction classification is loaded for this pair in the current curated dataset.,NULL,NULL,NULL,psychiatric_destabilization,[],NULL,low,No explicit rule is loaded for this pair in the current dataset.
antihypertensives|five_meo_dmt,five_meo_dmt,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,"Both drugs can shape blood pressure or pulse, so the main issue is compensatory load rather than a unique toxidrome.",NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load psychiatric_destabilization sympathomimetic_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Class-level cardiovascular pharmacology supports a cautious inference.
antihypertensives|guanfacine,antihypertensives,guanfacine,false,THEORETICAL,medium,2.00,Theoretical interaction,Alpha-2 agonist exposure with a cardiovascularly active partner points to a provisional noradrenergic suppression / hemodynamic interaction.,"Alpha-2 agonists reduce sympathetic outflow and can lower heart rate and blood pressure, making compensatory responses harder to predict.",NULL,NULL,noradrenergic_suppression,[noradrenergic_suppression hemodynamic_interaction psychiatric_destabilization cardiovascular_load],"- Avoid abrupt clonidine or guanfacine changes.
- Monitor for dizziness, bradycardia, hypotension, or unusual sedation.",medium,Class-level autonomic pharmacology supports a cautious inference.
antihypertensives|kambo,kambo,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|ketamine,antihypertensives,ketamine,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|lamotrigine,antihypertensives,lamotrigine,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|lithium,antihypertensives,lithium,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|lsd,lsd,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,"Both drugs can shape blood pressure or pulse, so the main issue is compensatory load rather than a unique toxidrome.","Monitor for transient blood pressure and heart-rate elevation during onset and peak psychedelic effects, followed by possible postural hypotension, bradycardia, dizziness, or syncope later in the session or post-acute period.","Do not abruptly stop prescribed antihypertensives before psychedelic use. People with hypertension, cardiovascular disease, or multi-drug antihypertensive regimens should have cardiovascular screening and BP/HR monitoring.",hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load psychiatric_destabilization sympathomimetic_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Class-level cardiovascular pharmacology supports a cautious inference.
antihypertensives|maoi_pharma,maoi_pharma,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|mdma,mdma,antihypertensives,false,INFERRED,low,NULL,Unknown/Insufficient Data,No explicit interaction classification is loaded for this pair in the current curated dataset.,NULL,NULL,NULL,psychiatric_destabilization,[],NULL,low,No explicit rule is loaded for this pair in the current dataset.
antihypertensives|mescaline_peyote,mescaline_peyote,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,"Both drugs can shape blood pressure or pulse, so the main issue is compensatory load rather than a unique toxidrome.","Monitor for transient blood pressure and heart-rate elevation during onset and peak psychedelic effects, followed by possible postural hypotension, bradycardia, dizziness, or syncope later in the session or post-acute period.","Do not abruptly stop prescribed antihypertensives before psychedelic use. People with hypertension, cardiovascular disease, or multi-drug antihypertensive regimens should have cardiovascular screening and BP/HR monitoring.",hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load psychiatric_destabilization sympathomimetic_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Class-level cardiovascular pharmacology supports a cautious inference.
antihypertensives|methylphenidate,methylphenidate,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,"Both drugs can shape blood pressure or pulse, so the main issue is compensatory load rather than a unique toxidrome.",NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load psychiatric_destabilization sympathomimetic_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Class-level cardiovascular pharmacology supports a cautious inference.
antihypertensives|nbome_series,nbome_series,antihypertensives,false,INFERRED,low,NULL,Unknown/Insufficient Data,No explicit interaction classification is loaded for this pair in the current curated dataset.,NULL,NULL,NULL,psychiatric_destabilization,[],NULL,low,No explicit rule is loaded for this pair in the current dataset.
antihypertensives|ndri_bupropion,ndri_bupropion,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,"Both drugs can shape blood pressure or pulse, so the main issue is compensatory load rather than a unique toxidrome.",NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load psychiatric_destabilization sympathomimetic_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Class-level cardiovascular pharmacology supports a cautious inference.
antihypertensives|nn_dmt,nn_dmt,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,"Both drugs can shape blood pressure or pulse, so the main issue is compensatory load rather than a unique toxidrome.",NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load psychiatric_destabilization sympathomimetic_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Class-level cardiovascular pharmacology supports a cautious inference.
antihypertensives|psilocybin,psilocybin,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,"Both drugs can shape blood pressure or pulse, so the main issue is compensatory load rather than a unique toxidrome.","Monitor for transient blood pressure and heart-rate elevation during onset and peak psychedelic effects, followed by possible postural hypotension, bradycardia, dizziness, or syncope later in the session or post-acute period.","Do not abruptly stop prescribed antihypertensives before psychedelic use. People with hypertension, cardiovascular disease, or multi-drug antihypertensive regimens should have cardiovascular screening and BP/HR monitoring.",hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load psychiatric_destabilization sympathomimetic_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Class-level cardiovascular pharmacology supports a cautious inference.
antihypertensives|salvia,salvia,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|serotonergic_opioids,serotonergic_opioids,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|snri,snri,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|ssri,ssri,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|tobacco_rape,tobacco_rape,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,"Both drugs can shape blood pressure or pulse, so the main issue is compensatory load rather than a unique toxidrome.",NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load psychiatric_destabilization sympathomimetic_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Class-level cardiovascular pharmacology supports a cautious inference.
antihypertensives|tricyclic_ad,tricyclic_ad,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,Two blood-pressure / heart-rate active agents create a provisional hemodynamic interaction.,The overlap is primarily cardiovascular load and less about a specific neurotransmitter mechanism.,NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Competing autonomic effects are enough to justify a provisional inference.
antihypertensives|two_c_x,two_c_x,antihypertensives,false,INFERRED,low,NULL,Unknown/Insufficient Data,No explicit interaction classification is loaded for this pair in the current curated dataset.,NULL,NULL,NULL,psychiatric_destabilization,[],NULL,low,No explicit rule is loaded for this pair in the current dataset.
antihypertensives|yopo,yopo,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,"Both drugs can shape blood pressure or pulse, so the main issue is compensatory load rather than a unique toxidrome.",NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load psychiatric_destabilization sympathomimetic_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Class-level cardiovascular pharmacology supports a cautious inference.
antipsychotics|antipsychotics,antipsychotics,antipsychotics,true,SELF,not_applicable,-1.00,Same Entity / N-A,Same entity selected; this is not an interaction pair.,NULL,NULL,NULL,unknown,[unknown],NULL,low,Self pairing is not an interaction and is preserved as a non-comparable diagonal case.
antipsychotics|atypical_ad,atypical_ad,antipsychotics,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|ayahuasca,ayahuasca,antipsychotics,false,UNSAFE,low,4.00,Unsafe / High Risk,Usually a psychiatric contraindication rather than a classic serotonergic-toxicity problem; many antipsychotics will also strongly suppress DMT effects.,"Many antipsychotics antagonize 5-HT2A (blunting DMT signaling) while adding orthostasis, QT burden, sedation, and metabolic strain; the dominant contraindication is psychiatric illness instability and operational medical risk, not classic serotonin-toxicity chemistry as the headline mechanism.",NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization pharmacodynamic_cns_depression cardiovascular_load qt_or_arrhythmia_risk operational_or_behavioral_risk],Direct ayahuasca-in-antipsychotic-maintained cohorts are missing; most evidence is extrapolated from classic psychedelic receptor-blockade studies.,medium,Usually a psychiatric contraindication rather than a classic serotonergic-toxicity problem; many antipsychotics will also strongly suppress DMT effects.
antipsychotics|belladonna,belladonna,antipsychotics,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|benzodiazepines,antipsychotics,benzodiazepines,false,THEORETICAL,medium,2.00,Theoretical interaction,A CNS-depressant or opioid-like partner with another depressant signal suggests pharmacodynamic CNS depression with possible respiratory involvement.,"Sedation, slowed respiration, vomiting, and impaired self-protection can stack even when the exact chemistry differs.",NULL,NULL,pharmacodynamic_cns_depression,[pharmacodynamic_cns_depression respiratory_depression operational_or_behavioral_risk dehydration_or_electrolyte_risk],"- Avoid mixing with alcohol, benzodiazepines, or other sedatives.
- Seek urgent care for slowed breathing, cyanosis, or unresponsiveness.",medium,The shared depressant physiology is enough to support a moderate provisional warning.
antipsychotics|beta_blockers,antipsychotics,beta_blockers,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|beta_blockers_ccb,antipsychotics,beta_blockers_ccb,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|brugmansia,brugmansia,antipsychotics,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|calcium_channel_blockers,antipsychotics,calcium_channel_blockers,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|cannabis,cannabis,antipsychotics,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|clonidine,antipsychotics,clonidine,false,THEORETICAL,medium,2.00,Theoretical interaction,Alpha-2 agonist exposure with a cardiovascularly active partner points to a provisional noradrenergic suppression / hemodynamic interaction.,"Alpha-2 agonists reduce sympathetic outflow and can lower heart rate and blood pressure, making compensatory responses harder to predict.",NULL,NULL,noradrenergic_suppression,[noradrenergic_suppression hemodynamic_interaction psychiatric_destabilization cardiovascular_load],"- Avoid abrupt clonidine or guanfacine changes.
- Monitor for dizziness, bradycardia, hypotension, or unusual sedation.",medium,Class-level autonomic pharmacology supports a cautious inference.
antipsychotics|clonidine_guanfacine,antipsychotics,clonidine_guanfacine,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|cocaine,cocaine,antipsychotics,false,THEORETICAL,low,2.00,Theoretical interaction,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,"Additive catecholaminergic and serotonergic activation can raise heart rate, blood pressure, anxiety, and overheating risk.",NULL,NULL,sympathomimetic_load,[sympathomimetic_load cardiovascular_load psychiatric_destabilization hemodynamic_interaction],"- Avoid sleep deprivation, dehydration, and dose escalation.
- Do not ignore chest pain, severe headache, or confusion.",low,Class-level autonomic activation supports a cautious inference even without pair-specific trials.
antipsychotics|dox,dox,antipsychotics,false,INFERRED,low,NULL,Unknown/Insufficient Data,No explicit interaction classification is loaded for this pair in the current curated dataset.,NULL,NULL,NULL,psychiatric_destabilization,[],NULL,low,No explicit rule is loaded for this pair in the current dataset.
antipsychotics|five_meo_dmt,five_meo_dmt,antipsychotics,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|guanfacine,antipsychotics,guanfacine,false,THEORETICAL,medium,2.00,Theoretical interaction,Alpha-2 agonist exposure with a cardiovascularly active partner points to a provisional noradrenergic suppression / hemodynamic interaction.,"Alpha-2 agonists reduce sympathetic outflow and can lower heart rate and blood pressure, making compensatory responses harder to predict.",NULL,NULL,noradrenergic_suppression,[noradrenergic_suppression hemodynamic_interaction psychiatric_destabilization cardiovascular_load],"- Avoid abrupt clonidine or guanfacine changes.
- Monitor for dizziness, bradycardia, hypotension, or unusual sedation.",medium,Class-level autonomic pharmacology supports a cautious inference.
antipsychotics|kambo,kambo,antipsychotics,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|ketamine,antipsychotics,ketamine,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|lamotrigine,antipsychotics,lamotrigine,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|lithium,antipsychotics,lithium,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|lsd,lsd,antipsychotics,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|maoi_pharma,maoi_pharma,antipsychotics,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|mdma,mdma,antipsychotics,false,INFERRED,low,NULL,Unknown/Insufficient Data,No explicit interaction classification is loaded for this pair in the current curated dataset.,NULL,NULL,NULL,psychiatric_destabilization,[],NULL,low,No explicit rule is loaded for this pair in the current dataset.
antipsychotics|mescaline_peyote,mescaline_peyote,antipsychotics,false,INFERRED,low,NULL,Mechanistic inference,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",The exact mechanism is unresolved; the classification is intentionally provisional.,NULL,NULL,psychiatric_destabilization,[psychiatric_destabilization operational_or_behavioral_risk],No direct pair-specific evidence was loaded.,low,This is a catch-all fallback when no sharper class-level rule is available.
antipsychotics|methylphenidate,methylphenidate,antipsychotics,false,THEORETICAL,low,2.00,Theoretical interaction,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,"Additive catecholaminergic and serotonergic activation can raise heart rate, blood pressure, anxiety, and overheating risk.",NULL,NULL,sympathomimetic_load,[sympathomimetic_load cardiovascular_load psychiatric_destabilization hemodynamic_interaction],"- Avoid sleep deprivation, dehydration, and dose escalation.
- Do not ignore chest pain, severe headache, or confusion.",low,Class-level autonomic activation supports a cautious inference even without pair-specific trials.
antipsychotics|nbome_series,nbome_series,antipsychotics,false,INFERRED,low,NULL,Unknown/Insufficient Data,No explicit interaction classification is loaded for this pair in the current curated dataset.,NULL,NULL,NULL,psychiatric_destabilization,[],NULL,low,No explicit rule is loaded for this pair in the current dataset.
antipsychotics|ndri_bupropion,ndri_bupropion,antipsychotics,false,THEORETICAL,low,2.00,Theoretical interaction,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,"Additive catecholaminergic and serotonergic activation can raise heart rate, blood pressure, anxiety, and overheating risk.",NULL,NULL,sympathomimetic_load,[sympathomimetic_load cardiovascular_load psychiatric_destabilization hemodynamic_interaction],"- Avoid sleep deprivation, dehydration, and dose escalation.
- Do not ignore chest pain, severe headache, or confusion.",low,Class-level autonomic activation supports a cautious inference even without pair-specific trials.
